key,sKey,title,desc,denom,numerator,xaxis
1,Agroforestry,Agro-forestry vs Non- Agroforestry,"On average, using agroforestry was ${avg} %{less|more} effective than not.",Monocrop yields better,Agroforestry yields better,Log ratio
2,Alternative fertilizer,Alternative fertilizer vs. Synthetic fertilizer,"On average, using alternative fertilizer was ${avg} %{less|more} effective than synthetic..",Synthetic yields better,Alternative yields better,Log ratio
3,Biochar,Biochar vs Non-biochar,"On average, using biochar was ${avg} %{less|more} effective compared to not using it",Non-biochar yields better,Biochar yields better,Log ratio
4,Biofertilization,Biofertilization vs No-Biofertilization,"On average, using biofertilizers was ${avg} %{less|more} effective compared to not using it",Non-Biofertilization better,Biofertilization better,Log ratio
5,Cultivar mix,Genetic diversity vs monculture,"On average, using  diverse cultivar mixes was ${avg} %{less|more} effective compared to monocultures.",Monocrop yields better,Cultivar mix yields better,Log ratio
6,GMO,GMO vs non-GMO,"On average, GMOs where ${avg} %{less|more} effective compared to non-GMOs",Non-GMO yields better,GMO yields better,Percent difference
7,Intercrop,Intercrop vs Monocrop,"On average, using intercrops were ${avg} %{less|more} effective compared to monocultures.",Monocrop yields better,Intercrop yields better,Land equivilant ratio
8,Intercrop focal,Intercrop vs Monocrop (focal),"On average, using intercrops were ${avg} %{less|more} effective compared to monocultures.",Monocrop yields better,Intercrop yields better,Land equivilant ratio
9,No-Till,No-Till vs Till,"On average, using no-till was ${avg} %{less|more} effective compared to not using it",Till yields better,No-Till yields better,Log ratio
10,Organic,Organic vs Conventional,"Organic was, on average, ${avg} %{less|more} effective compared to convetional",Conventional yields better,Organic yields better,Log ratio
11,Organic fertilizer substitution,Organic fertilizer vs. Synthetic fertilizer,"On average, using organic fertilizer was ${avg} %{less|more} effective than synthetic..",Synthetic yields better,Organic yields better,Log ratio
12,Weed suppression intercropping,Intercrop vs Monocrop (weed),"On average, using intercrops were ${avg} %{less|more} effective compared to monocultures.",Monocrop yields better,Intercrop yields better,Land equivilant ratio
13,Woody ammendment,Wood ammendment vs. None,"On average, using wood ammendments was ${avg} %{less|more} effective than not using them.",Control yields better,Wood yields better ,Log ratio