Meta.analysis_ID,Meta.analysis_DOI,Meta.analysis_year,Outcome,Outcome_unit,Intervention_type,Control_type,Study_Authors,Study_Year,Study_Title,Study_Journal,Study_Volume_Issue_page,Start_Date,End_date,Study_Latitude,Study_Longitude,Country,Admin_level_1,Admin_level_2,Admin_level_3,Admin_level_4,Study_Duration,Study_Duration_units,Crop_type,Crop_Name,Crop_species,Crop_variety,EffectSize_ReportedType,EffectSize_ReportedValue,EffectSize_LogRatio,LogRatio_Calculated,EffectSize_Percentdiff,Percentdiff_Calculated,EffectSize_Refererence,Climate_bin,Soil_type_bin,Xtreat,Xtreat_units,Sdtreat,Ntreat,Xcontrol,Xcontrol_units,Ncontrol,Sdcontrol,Rep_size,Rep_size_unit,Experimental_setting,Fertilizer_type,Fertilizer_amount,Fertilizer_conc_N,Fertilizer_conc_P,Fertilizer_conc_K,Rotation,Rotation_period,Rotation_Crop_species,Rotation_Crop_Name,Pesticide_Type,Pesticide_Active_Ingredient,Pesticide_Quantity_Applied,Soil_preparation,Weeding_time,Irrigated,Irrigation_quantity,Irrigation_quantity_unit,Seeding_depth,Seeding_depth_units,Seeding_width,Seeding_w_units,Seeding_length,Seeding_length_units,Seeding_rate,Seeding_rate_units,Soil_C_Treamemt,Soil_N_Treatment,Soil_P_Treatment,Soil_Treatment_units,Soil_N,Soil_N_Units,Soil_P,Soil_P_Units,Soil_texture,Soil_sampling_depth,Soil_sampling_depth_units,Intercropping_Design,Intercropping_Type,Focal_Crop_species,Focal_crop_type,Focal_crop_name,Focal_crop_variety,Intercropped_species,Intercrop_type,Intercrop_name,Intercrop_variety,Relative_density_total,Yield_solecrop1,Yield_solecrop2,Yield_intercrop1,Yield_intercrop2,Yield_unit,LER,Space_btwn_rows,Focal_crop_row_width,Intercrop_row_width,Focal_crop_strip_size,Focal_crop.space_btwn_rows,Focal_crop_width,Intercrop_strip_size,Intercrop_space_btwn_rows,Intercrop_width,Space_between_strips,Space_between_rows,Focal_crop_width.1,Intercrop_width2,Intercrop_plant_timing..days.,LongLat_Computed,Calculated_Duration,pH,Intervention_details,Woody_species,Woody_biomass_application,Woody_biomass_unit,Straw_addition,Straw_unit,Rainfall_mm,Soil_C,Fertilizer_amount_Rs,Green_manure_species,Nutrient_type,Crop_seasonal_timing,Fertilizer_reduced_rate,Weeded,Chemical_use,Ncultivars_mix,Cultivar_mix_ratio,Cultivar_names,Cultivar_selection_criteria,Soil_C_Units,Soil_C_Treatment,gens,soilUSDA,Ntreat.new,Ncontrol.new,effect_plot,Intervention_type.new,EffectSize_Percentdiff.new,Study_Duration.new,soils.new,gens.new
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,"Enache, AJ",1990,Weed-control by subterranean clover (trifolium-subterraneum) used as a living mulch,Weed Technology,"4(3), 534-538",NA,NA,38,-97,United States,"Adelphia, NJ, USA",NA,NA,NA,NA,NA,cereals,maize,zea mays,NA,Log Ratio,0.812877637,0.812877637,Reported,125.4385965,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,3.855,mg/ha,1.055443534,191,1.71,mg/ha,191,1.055443534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,LM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,12,75,191,191,0.812877637,Weed suppression intercropping,125.4385965,Not reported,USDA Class 75,Warm Temperate and Moist
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,"Enache, AJ",1990,Weed-control by subterranean clover (trifolium-subterraneum) used as a living mulch,Weed Technology,"4(3), 534-538",NA,NA,38,-97,United States,"Adelphia, NJ, USA",NA,NA,NA,NA,NA,cereals,maize,zea mays,NA,Log Ratio,0.446323367,0.446323367,Reported,56.25566636,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,3.447,mg/ha,1.055443534,191,2.206,mg/ha,191,1.055443534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,LM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,12,75,191,191,0.446323367,Weed suppression intercropping,56.25566636,Not reported,USDA Class 75,Warm Temperate and Moist
11,http://dx.doi.org/10.1016/j.fcr.2017.01.010,2017,Yield,mg/ha,Weed suppression intercropping,Monoculture,Flores-sanchez D,2013,Exploring Maize-Legume Intercropping Systems in Southwest Mexico,Agroecology and Sustainable Food Systems,"37, 739-761",NA,NA,23,-102,Mexico,"Tecoanapa, Guerrero, Mexico",NA,NA,NA,NA,NA,cereals,maize,zea mays,NA,Log Ratio,0.153465368,0.153465368,Reported,16.58674098,Calculated,"Verret pg 162 equation 1: Ryield =
Yield CC+CP/ YieldCC",NA,NA,1.82114168,mg/ha,0.853076185,191,1.562048707,mg/ha,191,0.282089105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Additive,SS,NA,NA,NA,NA,mucuna pruriens,legumes,velvet bean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,13,75,191,191,0.153465368,Weed suppression intercropping,16.58674098,Not reported,USDA Class 75,Warm Temperate and Xeric
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Dubin, H. J.; Wolfe, M. S.",1994,"Comparative Behavior Of Three Wheat Cultivars And Their Mixture In India, Nepal And Pakistan",Field Crops Research,"39, 2, 71窶�83",NA,NA,28.253,83.939,Nepal,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,-0.03901665234,Calculated,-3.826530612,Calculated,NA,NA,NA,3.77,t/ha,NA,4,3.92,t/ha,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"UP262 ,Ska,NL459 ",Disease,NA,NA,12,99,4,4,-0.03901665234,Cultivar mix,-3.826530612,Not reported,USDA Class 99,Warm Temperate and Moist
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Dubin, H. J.; Wolfe, M. S.",1994,"Comparative Behavior Of Three Wheat Cultivars And Their Mixture In India, Nepal And Pakistan",Field Crops Research,"39, 2, 71窶�83",NA,NA,28.253,83.939,Nepal,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,-0.002554279805,Calculated,-0.2551020408,Calculated,NA,NA,NA,3.91,t/ha,NA,4,3.92,t/ha,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"UP262 ,Ska,NL459 ",Disease,NA,NA,12,99,4,4,-0.002554279805,Cultivar mix,-0.2551020408,Not reported,USDA Class 99,Warm Temperate and Moist
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Dubin, H. J.; Wolfe, M. S.",1994,"Comparative Behavior Of Three Wheat Cultivars And Their Mixture In India, Nepal And Pakistan",Field Crops Research,"39, 2, 71窶�83",NA,NA,28.253,83.939,Nepal,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,-0.01459879942,Calculated,-1.449275362,Calculated,NA,NA,NA,0.68,t/ha,NA,4,0.69,t/ha,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"UP262 ,Ska,NL459 ",Disease,NA,NA,12,99,4,4,-0.01459879942,Cultivar mix,-1.449275362,Not reported,USDA Class 99,Warm Temperate and Moist
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Dubin, H. J.; Wolfe, M. S.",1994,"Comparative Behavior Of Three Wheat Cultivars And Their Mixture In India, Nepal And Pakistan",Field Crops Research,"39, 2, 71窶�83",NA,NA,28.253,83.939,Nepal,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,-0.02941388521,Calculated,-2.898550725,Calculated,NA,NA,NA,0.67,t/ha,NA,4,0.69,t/ha,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"UP262 ,Ska,NL459 ",Disease,NA,NA,12,99,4,4,-0.02941388521,Cultivar mix,-2.898550725,Not reported,USDA Class 99,Warm Temperate and Moist
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Dubin, H. J.; Wolfe, M. S.",1994,"Comparative Behavior Of Three Wheat Cultivars And Their Mixture In India, Nepal And Pakistan",Field Crops Research,"39, 2, 71窶�83",NA,NA,28.253,83.939,Nepal,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,-0.1880522315,Calculated,-17.14285714,Calculated,NA,NA,NA,2.61,t/ha,NA,4,3.15,t/ha,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"UP262 ,Ska,NL459 ",Disease,NA,NA,12,99,4,4,-0.1880522315,Cultivar mix,-17.14285714,Not reported,USDA Class 99,Warm Temperate and Moist
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Zhou, K. Q.; Wang, G. D.; Li, Y. H.; Liu, X. B.; Herbert, S. J.; Hashemi, M.",2014,Assessing Variety Mixture Of Continuous Spring Wheat (Triticum Aestivum L.) On Grain Yield And Flour Quality In Northeast China,International Journal of Plant Production,"8, 1, ",NA,NA,35,105,China,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,0.05631117156,Calculated,5.792682927,Calculated,NA,NA,NA,3.47,t/ha,NA,3,3.28,t/ha,3,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,seeds/m2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50:50:00,"LM26,LFM16",Both disease and physical,NA,NA,10,75,3,3,0.05631117156,Cultivar mix,5.792682927,Not reported,USDA Class 75,Cool Temperate and Xeric
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Zhou, K. Q.; Wang, G. D.; Li, Y. H.; Liu, X. B.; Herbert, S. J.; Hashemi, M.",2014,Assessing Variety Mixture Of Continuous Spring Wheat (Triticum Aestivum L.) On Grain Yield And Flour Quality In Northeast China,International Journal of Plant Production,"8, 1, ",NA,NA,35,105,China,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,0.09920665008,Calculated,10.42944785,Calculated,NA,NA,NA,3.6,t/ha,NA,3,3.26,t/ha,3,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,seeds/m2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"LM26,LFM16,LFM9",Both disease and physical,NA,NA,10,75,3,3,0.09920665008,Cultivar mix,10.42944785,Not reported,USDA Class 75,Cool Temperate and Xeric
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Zhou, K. Q.; Wang, G. D.; Li, Y. H.; Liu, X. B.; Herbert, S. J.; Hashemi, M.",2014,Assessing Variety Mixture Of Continuous Spring Wheat (Triticum Aestivum L.) On Grain Yield And Flour Quality In Northeast China,International Journal of Plant Production,"8, 1, ",NA,NA,35,105,China,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,-0.06375451483,Calculated,-6.176470588,Calculated,NA,NA,NA,3.19,t/ha,NA,3,3.4,t/ha,3,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,seeds/m2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50:50:00,"LM26,LFM16",Both disease and physical,NA,NA,10,75,3,3,-0.06375451483,Cultivar mix,-6.176470588,Not reported,USDA Class 75,Cool Temperate and Xeric
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Zhou, K. Q.; Wang, G. D.; Li, Y. H.; Liu, X. B.; Herbert, S. J.; Hashemi, M.",2014,Assessing Variety Mixture Of Continuous Spring Wheat (Triticum Aestivum L.) On Grain Yield And Flour Quality In Northeast China,International Journal of Plant Production,"8, 1, ",NA,NA,35,105,China,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,0.02346148668,Calculated,2.37388724,Calculated,NA,NA,NA,3.45,t/ha,NA,3,3.37,t/ha,3,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,seeds/m2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"LM26,LFM16,LFM9",Both disease and physical,NA,NA,10,75,3,3,0.02346148668,Cultivar mix,2.37388724,Not reported,USDA Class 75,Cool Temperate and Xeric
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Zhou, K. Q.; Wang, G. D.; Li, Y. H.; Liu, X. B.; Herbert, S. J.; Hashemi, M.",2014,Assessing Variety Mixture Of Continuous Spring Wheat (Triticum Aestivum L.) On Grain Yield And Flour Quality In Northeast China,International Journal of Plant Production,"8, 1, ",NA,NA,35,105,China,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,-0.09333193979,Calculated,-8.910891089,Calculated,NA,NA,NA,3.68,t/ha,NA,3,4.04,t/ha,3,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,seeds/m2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50:50:00,"LM26,LFM16",Both disease and physical,NA,NA,10,75,3,3,-0.09333193979,Cultivar mix,-8.910891089,Not reported,USDA Class 75,Cool Temperate and Xeric
12,NA,2018,Yield,t/ha,Cultivar mix,Cultivar monoculture,"Zhou, K. Q.; Wang, G. D.; Li, Y. H.; Liu, X. B.; Herbert, S. J.; Hashemi, M.",2014,Assessing Variety Mixture Of Continuous Spring Wheat (Triticum Aestivum L.) On Grain Yield And Flour Quality In Northeast China,International Journal of Plant Production,"8, 1, ",NA,NA,35,105,China,,NA,NA,NA,NA,NA,cereals,wheat,triticum aestivum,NA,All calculated,NA,0.004854378465,Calculated,0.4866180049,Calculated,NA,NA,NA,4.13,t/ha,NA,3,4.11,t/ha,3,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,seeds/m2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Substitutive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33:33:33,"LM26,LFM16,LFM9",Both disease and physical,NA,NA,10,75,3,3,0.004854378465,Cultivar mix,0.4866180049,Not reported,USDA Class 75,Cool Temperate and Xeric